wavelengths,oxyhemoglobin,deoxyhemoglobin,methemoglobin,carboxyhemoglobin,eumelanin,yc1a,yc2a
450,64.8,53.92,39.2,40.28,1.905,0.24208,0.35827
451,62.14,47.54,38.39,38.82,1.8937,0.24095,0.35789
452,59.6,42.32,37.69,37.52,1.8824,0.24022,0.35773
453,57.32,37.88,37.07,36.34,1.8713,0.24009,0.35778
454,55.2,34.08,36.51,35.24,1.8603,0.24075,0.35802
455,53.16,30.84,35.98,34.2,1.8494,0.24238,0.35847
456,51.24,28.09,35.5,33.24,1.8387,0.24495,0.35912
457,49.49,25.74,35.08,32.38,1.8281,0.24805,0.35997
458,47.84,23.73,34.7,31.59,1.8177,0.25127,0.36101
459,46.22,22,34.33,30.83,1.8074,0.25423,0.36224
460,44.68,20.52,33.98,30.12,1.7973,0.25694,0.36369
461,43.3,19.27,33.68,29.47,1.7874,0.25966,0.36601
462,42,18.21,33.4,28.87,1.7776,0.26245,0.3706
463,40.72,17.28,33.11,28.28,1.768,0.26489,0.37886
464,39.5,16.48,32.84,27.73,1.7585,0.2665,0.39014
465,38.38,15.81,32.63,27.23,1.7491,0.2668,0.40083
466,37.33,15.25,32.43,26.76,1.7399,0.26532,0.40715
467,36.31,14.79,32.22,26.31,1.7308,0.2622,0.40528
468,35.34,14.41,32.03,25.88,1.7217,0.25864,0.39141
469,34.45,14.09,31.91,25.48,1.7128,0.25597,0.36188
470,33.6,13.83,31.82,25.1,1.704,0.25433,0.33063
471,32.77,13.62,31.71,24.73,1.6952,0.25159,0.31572
472,31.97,13.46,31.63,24.39,1.6865,0.24528,0.31234
473,31.24,13.35,31.62,24.09,1.6779,0.23332,0.31505
474,30.55,13.27,31.65,23.81,1.6693,0.22034,0.31838
475,29.87,13.22,31.68,23.53,1.6608,0.21206,0.31687
476,29.21,13.19,31.74,23.26,1.6524,0.20634,0.30597
477,28.6,13.19,31.86,23.04,1.644,0.20031,0.28681
478,28.01,13.21,32,22.84,1.6356,0.19227,0.275
479,27.43,13.25,32.14,22.64,1.6272,0.18285,0.269
480,26.89,13.29,32.3,22.46,1.6188,0.17344,0.25959
481,26.4,13.34,32.53,22.31,1.6105,0.16598,0.24777
482,25.93,13.41,32.77,22.17,1.6022,0.16094,0.23835
483,25.46,13.51,32.99,22.01,1.5938,0.15754,0.23181
484,25.02,13.62,33.22,21.86,1.5854,0.15505,0.22734
485,24.65,13.74,33.5,21.73,1.5771,0.15311,0.22416
486,24.29,13.86,33.79,21.61,1.5687,0.1514,0.22146
487,23.91,13.99,34.03,21.48,1.5602,0.14962,0.21862
488,23.55,14.15,34.28,21.36,1.5518,0.14762,0.21563
489,23.24,14.33,34.57,21.26,1.5434,0.14547,0.2126
490,22.96,14.53,34.86,21.17,1.5349,0.14325,0.20966
491,22.67,14.73,35.09,21.08,1.5264,0.14103,0.20692
492,22.38,14.94,35.31,21.01,1.5179,0.13891,0.2045
493,22.13,15.18,35.56,20.97,1.5094,0.13692,0.20239
494,21.89,15.44,35.79,20.94,1.5009,0.1351,0.20048
495,21.64,15.71,35.94,20.91,1.4924,0.13346,0.19863
496,21.41,15.99,36.07,20.9,1.4839,0.13203,0.19672
497,21.21,16.3,36.22,20.92,1.4753,0.13083,0.19462
498,21.02,16.63,36.35,20.97,1.4668,0.12986,0.1922
499,20.82,16.97,36.41,21.03,1.4582,0.12904,0.18936
500,20.62,17.32,36.42,21.12,1.4496,0.12827,0.18619
501,20.45,17.7,36.43,21.24,1.4411,0.12745,0.18286
502,20.28,18.1,36.39,21.38,1.4325,0.12646,0.17956
503,20.1,18.5,36.27,21.53,1.4239,0.12521,0.17645
504,19.94,18.91,36.12,21.72,1.4153,0.12368,0.1736
505,19.82,19.35,35.98,21.97,1.4067,0.12194,0.1709
506,19.71,19.79,35.8,22.25,1.3981,0.12007,0.16823
507,19.61,20.21,35.54,22.55,1.3895,0.11815,0.1655
508,19.53,20.64,35.25,22.89,1.3808,0.11624,0.16258
509,19.5,21.09,34.99,23.29,1.3722,0.11444,0.15941
510,19.51,21.53,34.7,23.76,1.3636,0.11277,0.15601
511,19.56,21.95,34.35,24.29,1.355,0.1112,0.15247
512,19.68,22.37,33.97,24.9,1.3464,0.10969,0.14887
513,19.89,22.82,33.62,25.6,1.3377,0.10821,0.14527
514,20.17,23.26,33.27,26.38,1.3291,0.10671,0.14176
515,20.51,23.68,32.88,27.25,1.3205,0.10515,0.13835
516,20.94,24.1,32.48,28.22,1.3119,0.1035,0.13508
517,21.5,24.55,32.1,29.33,1.3033,0.10176,0.13196
518,22.19,25,31.72,30.54,1.2946,0.09998,0.129
519,22.99,25.45,31.32,31.82,1.286,0.0982,0.12617
520,23.92,25.91,30.93,33.19,1.2774,0.096464,0.12348
521,25.02,26.42,30.56,34.66,1.2688,0.094804,0.12089
522,26.32,26.95,30.2,36.2,1.2602,0.09323,0.11839
523,27.84,27.48,29.82,37.78,1.2516,0.091749,0.11598
524,29.52,28.04,29.46,39.4,1.243,0.090367,0.11367
525,31.28,28.64,29.15,41.08,1.2345,0.089092,0.11146
526,33.14,29.27,28.86,42.76,1.2259,0.08793,0.10934
527,35.12,29.91,28.56,44.39,1.2173,0.086889,0.10733
528,37.21,30.58,28.27,46,1.2088,0.085972,0.10541
529,39.38,31.29,28.02,47.61,1.2003,0.085172,0.1036
530,41.56,32.04,27.78,49.16,1.1918,0.084475,0.10189
531,43.7,32.82,27.53,50.6,1.1833,0.083868,0.10027
532,45.76,33.64,27.3,51.96,1.1749,0.083337,0.098758
533,47.73,34.53,27.11,53.26,1.1664,0.08287,0.097338
534,49.56,35.46,26.91,54.44,1.158,0.082453,0.096015
535,51.23,36.42,26.68,55.42,1.1497,0.082074,0.094781
536,52.76,37.42,26.44,56.2,1.1414,0.081718,0.093632
537,54.16,38.49,26.22,56.8,1.1331,0.081374,0.092559
538,55.36,39.6,25.98,57.2,1.1248,0.081028,0.091556
539,56.28,40.73,25.7,57.32,1.1166,0.080675,0.090616
540,56.96,41.88,25.38,57.08,1.1085,0.080308,0.089731
541,57.45,43.06,25.05,56.71,1.1004,0.079921,0.088896
542,57.64,44.24,24.68,56.16,1.0923,0.079509,0.088104
543,57.42,45.37,24.25,55.34,1.0843,0.079065,0.08735
544,56.84,46.48,23.79,54.36,1.0764,0.078584,0.086632
545,55.97,47.57,23.33,53.37,1.0685,0.078064,0.085949
546,54.76,48.6,22.84,52.32,1.0607,0.077516,0.085299
